nation                                       orders
ALGERIA                                         30
ARGENTINA                                       30
BRAZIL                                          15
CANADA                                          22
CHINA                                           80
EGYPT                                           54
ETHIOPIA                                        27
FRANCE                                          25
GERMANY                                         54
INDIA                                           80
INDONESIA                                       61
IRAN                                            22
IRAQ                                            33
JAPAN                                           43
JORDAN                                          16
KENYA                                           69
MOROCCO                                         26
MOZAMBIQUE                                      83
PERU                                            57
ROMANIA                                         44
RUSSIA                                          52
SAUDI ARABIA                                    10
UNITED KINGDOM                                  30
UNITED STATES                                   85
VIETNAM                                         73
